DWT_LSUCNT,DWT_CPICNT,DWT_EXCCNT,DWT_CYCCNT,DWT_SLEEPCNT,DWT_FOLDCNT,LSU_stim,CPI_stim,FLD_stim,EXC_stim,LEGIT,TIME,METADATA
7037606,7229287,12360,268159958,0,1054275,312300,275567,238923,0,0,2438,entropy=MEDIUM
5260794,5453885,9649,126902597,0,1812354,0,44189,0,166403,0,1153,activity=HIGH
6084130,6384623,10151,179854822,0,1878448,55237,145760,62550,166910,0,1635,
6256909,6548754,9337,156736553,0,2536087,0,0,30424,281942,0,1424,
5245505,5422170,8965,154710162,0,1380589,73945,12488,197970,61477,0,1406,
4600481,4909935,8272,147657668,0,908396,0,235276,94838,0,0,1342,
4922478,5221188,8512,147605226,0,1165117,0,259756,0,58575,0,1341,
6684481,6677974,11434,211388807,0,1409110,285308,94386,114929,79887,0,1921,
4963788,4931215,8707,116864232,0,1305278,101295,0,0,81933,0,1062,
5168862,5288728,8591,163116870,0,929577,127880,148276,115839,0,0,1482,
4960546,5347493,9301,180077039,0,1246421,0,85302,314567,12258,1,1637,
5604683,5532471,9698,171006583,0,835131,240195,161454,20943,0,0,1554,
5505732,5210214,8120,148887567,0,838972,303457,0,25444,0,0,1353,
6742129,6851658,11176,215514373,0,1722644,231956,0,244252,110584,0,1959,
8037148,8239531,13180,258531982,0,2456804,261021,0,248670,232137,0,2350,
7401717,7785646,12749,252232353,0,2034050,164833,254735,125675,182155,0,2293,
4794958,4952070,8372,139845825,0,948005,57449,212012,0,22405,0,1271,
6659170,7167629,12229,205260710,0,2273142,0,279630,0,243046,0,1866,
6012718,6429301,11613,180280460,0,1902219,0,249343,0,181225,0,1638,
5039657,5228827,9258,161256450,0,813913,89520,295506,0,0,0,1466,
8162997,8500235,12229,253607867,0,2870226,175685,41608,176755,313032,0,2305,
5051847,4930102,8117,149026302,0,857598,187482,93491,0,0,1,1354,
3782965,3817883,6009,82777238,0,812672,0,59178,0,0,0,752,
6158040,6167228,9568,207609634,0,1107639,274753,6560,293408,0,0,1887,
5313171,5314234,9042,161355507,0,813835,183094,200391,0,0,0,1466,
4853929,5084904,8575,155007009,0,1118768,54590,0,305070,0,0,1409,
4295915,4413494,7562,104063907,0,1084856,0,88263,6985,44110,0,946,
7051331,7308894,12099,193543601,0,2623924,96346,0,77914,288499,0,1759,
5304411,5836988,10965,199810965,0,1144729,0,253858,285061,7502,0,1816,
6961419,7187856,12482,226905484,0,1944412,194356,19851,271639,142920,0,2062,
5719633,5682069,9104,159298606,0,1349266,190572,10294,83747,75264,0,1448,
5770322,5796531,9459,187911058,0,1082008,225586,0,267904,0,0,1708,
6854593,7241611,11992,210166583,0,2335175,71458,95499,149085,228499,0,1910,
7331636,7561021,11852,247718329,0,2218153,202824,0,273240,180994,1,2252,
4299527,4508149,7612,123751663,0,813307,0,230282,0,0,0,1125,
7980496,8299363,13128,271204309,0,2226642,232681,196437,162972,208012,0,2465,
8002373,8855605,13289,298089713,0,2731529,17143,306263,315103,266774,0,2709,
5984584,6119716,10411,164536876,0,1850279,106990,0,105677,155079,0,1495,
5510073,5800480,9580,173887917,0,1555783,56754,0,291963,74949,0,1580,
5574202,5697023,8616,149165118,0,1690446,83074,0,95738,130160,0,1356,
