DWT_LSUCNT,DWT_CPICNT,DWT_EXCCNT,DWT_CYCCNT,DWT_SLEEPCNT,DWT_FOLDCNT,LSU_stim,CPI_stim,FLD_stim,EXC_stim,LEGIT,TIME,METADATA,,,,,,,,,,
6403474,6857771,11177,167028163,0,2466923,48817,0,38524,268986,0,1518,activity=HIGH,,,,,,,,,,
6829404,7114501,10943,210663464,0,1683759,238941,175171,0,144863,0,1915,entropy=HIGH,,,,,,,,,,
8986234,9501462,16289,319148498,0,2520788,333713,139495,281602,237075,0,2901,,,,,,,,,,,
6166917,6310189,9214,203859029,0,832974,311770,226802,18953,0,0,1853,,,,,,,,,,,
5425571,5661871,8003,171421462,0,1038872,199120,0,225306,0,0,1558,,,,,,,,,,,
4768079,4899537,7631,128203743,0,813284,159119,85669,0,0,0,1165,,,,,,,,,,,
6855248,7318634,10354,206482752,0,2103346,138358,176681,0,214824,0,1877,,,,,,,,,,,
3975267,4295122,6730,96789543,0,892268,0,101124,0,13213,0,879,,,,,,,,,,,
5588690,6205887,9731,174141656,0,1594936,0,284220,0,130138,0,1583,,,,,,,,,,,
4898230,5157795,7762,144998156,0,813416,133248,182214,0,0,0,1318,,,,,,,,,,,
8305290,9161833,15338,297591039,0,3065804,87749,132080,303454,317088,1,2705,,,,,,,,,,,
6115975,6410572,11927,213456055,0,915170,248317,250419,100194,0,0,1940,,,,,,,,,,,
4518835,4829189,7699,128729059,0,813344,72829,175958,0,0,0,1170,,,,,,,,,,,
6870056,7518723,11373,238494303,0,1797418,117105,348415,55889,154449,0,2168,,,,,,,,,,,
4834320,5194004,7290,122416376,0,1398631,27459,79147,0,97580,0,1112,,,,,,,,,,,
8248628,8763627,12606,284324810,0,2194387,273234,289727,70403,218097,0,2584,,,,,,,,,,,
4771878,5114272,7456,144614183,0,1036162,91826,0,222900,0,0,1314,,,,,,,,,,,
7430017,7929660,13940,299649003,0,1103853,327790,341588,287824,0,0,2724,,,,,,,,,,,
5866951,6083584,9568,184091745,0,1024085,229307,205538,0,34979,0,1673,,,,,,,,,,,
5274494,5464023,9717,148528554,0,1067528,163088,115963,0,42224,0,1350,,,,,,,,,,,
5452323,6213330,11769,218025716,0,1270132,0,275986,267604,23986,1,1982,,,,,,,,,,,
6342633,6978671,10566,183707269,0,2298282,0,183953,0,247308,0,1670,,,,,,,,,,,
5978082,6577376,10463,173900078,0,2216701,0,6904,190292,202020,0,1580,,,,,,,,,,,
5596754,6080589,9716,145317405,0,2087733,0,0,81879,198640,0,1321,,,,,,,,,,,
3895286,4208023,7758,95706747,0,925763,0,0,112413,0,0,870,,,,,,,,,,,
6668677,7487447,13188,234372805,0,2113036,16407,238949,221069,179419,0,2130,,,,,,,,,,,
5299187,5886762,8865,164589680,0,1414237,0,280307,0,100075,0,1496,,,,,,,,,,,
6748602,7051452,12272,239435050,0,1303241,296099,69913,303620,30739,0,2176,,,,,,,,,,,
4790891,4853272,7813,124013804,0,854736,185522,0,41218,0,0,1127,,,,,,,,,,,
3637465,3878936,5755,75993428,0,842638,0,0,30092,0,0,690,,,,,,,,,,,
8207206,8392619,12422,235735059,0,2577401,327017,11862,0,293685,0,2143,,,,,,,,,,,
4697280,4889678,8481,108965213,0,1256568,77780,0,0,73848,0,990,,,,,,,,,,,
7685900,8511285,12875,262638774,0,2928622,38413,153615,191106,313097,1,2387,,,,,,,,,,,
5716759,6374176,9757,182824671,0,1803678,0,133649,181393,134682,0,1662,,,,,,,,,,,
5048278,5433864,8881,162988692,0,813817,104852,286331,0,0,0,1481,,,,,,,,,,,
5762436,6348856,9228,167451957,0,2084477,0,0,198112,178751,0,1522,,,,,,,,,,,
6480746,6883942,9835,186796839,0,1993343,129932,124971,0,196528,0,1698,,,,,,,,,,,
6400784,6342850,9786,178184301,0,1310327,346276,4348,0,82700,0,1619,,,,,,,,,,,
6357362,6912694,9800,165412323,0,2574476,0,52402,0,293398,0,1503,,,,,,,,,,,
5652054,6299099,11093,182181794,0,1548059,0,327268,0,122222,0,1656,,,,,,,,,,,
6544631,7146434,10345,214297120,0,1805436,90911,317165,0,165176,0,1948,,,,,,,,,,,
6052114,6030958,8679,164662623,0,1254910,306029,0,0,73485,0,1497,,,,,,,,,,,
3681854,3933937,5800,79211059,0,856038,0,0,43528,0,0,720,,,,,,,,,,,
4927358,5090388,9609,139466244,0,814014,160649,131140,0,0,0,1267,,,,,,,,,,,
7450553,8267141,12816,244709619,0,3131056,0,0,287991,330708,1,2224,,,,,,,,,,,
5446062,5755951,11203,178683857,0,1101384,168689,0,286702,0,0,1624,,,,,,,,,,,
7597677,8086587,11885,232683876,0,2444611,173512,182254,0,271609,0,2115,,,,,,,,,,,
5946523,6485588,11549,199175050,0,1396238,89871,292917,54788,87771,0,1810,,,,,,,,,,,
6315143,7082573,12357,213268037,0,2084336,0,163118,233720,172566,0,1938,,,,,,,,,,,
9290771,10175817,15913,349932234,0,2888533,214370,267235,343179,288112,0,3181,,,,,,,,,,,
6712070,7384907,12323,195892612,0,2594432,0,125159,63394,285987,0,1780,,,,,,,,,,,
4179312,4575590,8892,117555050,0,1017329,0,0,203651,0,0,1068,,,,,,,,,,,
4079629,4397586,7454,105850240,0,948504,18970,0,135404,0,0,962,,,,,,,,,,,
5649011,6357941,11009,194360496,0,1660374,0,133163,278017,94602,0,1766,,,,,,,,,,,
9349440,9770831,15595,334333142,0,2827411,348433,226139,49548,305157,1,3039,,,,,,,,,,,
6896758,7688215,12794,223017498,0,2489884,0,202800,133977,256779,0,2027,,,,,,,,,,,
7565382,8257500,13878,242794422,0,2748077,84357,90546,205573,287801,0,2207,,,,,,,,,,,
6585010,7221690,12417,188697165,0,2650508,0,0,168200,277887,0,1715,,,,,,,,,,,
6046700,6451832,8931,190955694,0,1641110,147498,0,243086,97350,0,1736,,,,,,,,,,,
6467748,6646556,9009,195687314,0,1538219,270387,0,136685,97935,0,1779,,,,,,,,,,,
3954002,4125116,6555,87649581,0,835444,54979,0,22637,0,0,796,,,,,,,,,,,
6426494,7024627,10883,216550254,0,1913991,97182,60448,297427,133669,0,1968,,,,,,,,,,,
7133603,7747423,10930,226614610,0,2245222,104079,267502,0,238427,0,2060,,,,,,,,,,,
4128814,4482422,8026,106267717,0,1058739,0,0,134410,18471,0,966,,,,,,,,,,,
4014236,4381987,6282,105948156,0,967901,0,0,155181,0,0,963,,,,,,,,,,,
7781478,8118896,14547,287515039,0,1635002,342837,243601,142736,105393,1,2613,,,,,,,,,,,
7561807,7929522,13822,255534774,0,2020771,284781,0,310743,149050,0,2323,,,,,,,,,,,
7807480,8377650,13778,260150666,0,2294861,190230,261467,60530,236418,0,2365,,,,,,,,,,,
7577381,8265326,12712,240147409,0,2600981,84051,273621,0,297626,0,2183,,,,,,,,,,,
6173589,6471346,9852,216270492,0,1163174,261660,0,348744,0,0,1966,,,,,,,,,,,
7020426,7732439,10981,204160532,0,2892753,0,51186,124464,325622,0,1856,,,,,,,,,,,
6154330,6831692,9646,191417526,0,2047947,4518,204240,71405,193736,0,1740,,,,,,,,,,,
5280404,5224903,7638,140923394,0,828779,279894,0,15484,0,0,1281,,,,,,,,,,,
4954493,4926699,7446,125730140,0,813139,232915,0,0,0,0,1143,,,,,,,,,,,
4502432,4879244,9104,133255451,0,1036753,45458,0,222805,0,0,1211,,,,,,,,,,,
4378848,4806388,8636,125339381,0,982545,0,159927,53127,19305,0,1139,,,,,,,,,,,
6225180,6771532,11699,193738124,0,2512565,0,11753,106449,243386,1,1761,,,,,,,,,,,
5156171,5753039,8786,171139869,0,1317112,13538,154394,198385,50820,0,1555,,,,,,,,,,,
5461686,5405859,8094,150746923,0,813529,298724,37282,0,0,0,1370,,,,,,,,,,,
6734550,6936073,11164,230650020,0,1167542,333190,130230,168909,30606,0,2096,,,,,,,,,,,
5861626,6208289,9016,203280231,0,1076963,211829,82375,262995,0,0,1848,,,,,,,,,,,
4524339,5043535,9247,145491921,0,1134188,0,0,320313,0,0,1322,,,,,,,,,,,
5986340,6000399,10626,184453957,0,961460,329138,0,146991,0,0,1676,,,,,,,,,,,
3555964,3756826,6834,68787087,0,812947,0,0,0,0,0,625,,,,,,,,,,,
5922180,6244907,9865,159965639,0,1837538,114197,25002,43779,163275,0,1454,,,,,,,,,,,
